id,tên,loại,thành phần,option,option_json,canonical_description,structured_tags,health_profile,context_suitability,
11,trà sữa trân châu matcha phô mai,thức uống,"hồng trà, sữa, trân châu đen, phô mai, matcha","đá (nhiều/ít/không), đường (nhiều/ít), trân châu (ít/nhiều), phô mai (ít/nhiều)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""], ""trân_châu"": [""ít"", ""nhiều""], ""phô_mai"": [""ít"", ""nhiều""]}","Trà sữa trân châu matcha phô mai là thức uống béo ngọt, đậm vị và giàu năng lượng. Không phù hợp người tiểu đường, béo phì hoặc gan nhiễm mỡ.","{""type"":""thức uống"",""taste"":[""sweet"",""fatty"",""bitter""],""ingredients"":[""hồng trà"",""sữa"",""trân châu đen"",""phô mai"",""matcha""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít)"",""trân châu (ít/nhiều)"",""phô mai (ít/nhiều)""],""suitable_for"":[],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""good_for"":[],""bad_for"":[""diabetes"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
12,trà sữa trân châu đường đen,thức uống,"hồng trà, sữa tươi, trân châu đen, đường, đá","đường đen (nhiều/ít), đá (nhiều/ít/không), trân châu (ít/nhiều)","{""đường_đen"": [""nhiều"", ""ít""], ""đá"": [""nhiều"", ""ít"", ""không""], ""trân_châu"": [""ít"", ""nhiều""]}","Trà sữa trân châu đường đen là thức uống ngọt đậm và giàu năng lượng. Không phù hợp người tiểu đường, béo phì hoặc gan nhiễm mỡ.","{""type"":""thức uống"",""taste"":[""sweet""],""ingredients"":[""hồng trà"",""sữa tươi"",""trân châu đen"",""đường"",""đá""],""options"":[""đường đen (nhiều/ít)"",""đá (nhiều/ít/không)"",""trân châu (ít/nhiều)""],""suitable_for"":[],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""good_for"":[],""bad_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
13,café sữa,thức uống,"café, đá, sữa đặc, đường","đá (nhiều/ít/không), sữa đặc (nhiều/ít), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""sữa_đặc"": [""nhiều"", ""ít""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Café sữa là thức uống đậm vị, béo ngọt và giàu caffein. Không phù hợp người dạ dày yếu hoặc tiểu đường nếu dùng nhiều đường và sữa đặc.","{""type"":""thức uống"",""taste"":[""sweet"",""bitter"",""fatty""],""ingredients"":[""café"",""đá"",""sữa đặc"",""đường""],""options"":[""đá (nhiều/ít/không)"",""sữa đặc (nhiều/ít)"",""đường (nhiều/ít/không)""],""suitable_for"":[],""avoid_for"":[""diabetes"",""weak_stomach"",""gastritis"",""heart_disease""]}","{""good_for"":[],""bad_for"":[""diabetes"",""weak_stomach"",""gastritis"",""heart_disease""]}","{""morning"":true,""noon"":true,""evening"":false,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":true,""sunny_strong"":true,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
14,nước mía,thức uống,"mía, đá, muối, tắc","đá (nhiều/ít/không), tắc (có/không), muối (có/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""tắc"": [""có"", ""không""], ""muối"": [""có"", ""không""]}","Nước mía là thức uống ngọt mát giúp giải nhiệt, rất phù hợp thời tiết nóng. Không phù hợp người tiểu đường do hàm lượng đường cao.","{""type"":""thức uống"",""taste"":[""sweet""],""ingredients"":[""mía"",""đá"",""muối"",""tắc""],""options"":[""đá (nhiều/ít/không)"",""tắc (có/không)"",""muối (có/không)""],""suitable_for"":[""hot_weather""],""avoid_for"":[""diabetes""]}","{""good_for"":[""hot_weather""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
15,sinh tố bơ,thức uống,"bơ, sữa tươi, đá, đường","đá (nhiều/ít/không), đường (nhiều/ít), sữa tươi (nhiều/ít), bơ (nhiều/ít)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""], ""sữa_tươi"": [""nhiều"", ""ít""], ""bơ"": [""nhiều"", ""ít""]}","Sinh tố bơ là thức uống béo ngọt, mát lạnh và giàu calo. Không phù hợp người tiểu đường, béo phì hoặc gan nhiễm mỡ do nhiều đường và chất béo.","{""type"":""thức uống"",""taste"":[""sweet"",""fatty""],""ingredients"":[""bơ"",""sữa tươi"",""đá"",""đường""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít)"",""sữa tươi (nhiều/ít)"",""bơ (nhiều/ít)""],""suitable_for"":[],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""good_for"":[],""bad_for"":[""diabetes"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
16,sữa chua đá,thức uống,"sữa chua, sữa đặc, đá, đường","đường (nhiều/ít/không), đá (nhiều/ít), sữa chua (nhiều/ít), sữa đặc (nhiều/ít)","{""đường"": [""nhiều"", ""ít"", ""không""], ""đá"": [""nhiều"", ""ít""], ""sữa_chua"": [""nhiều"", ""ít""], ""sữa_đặc"": [""nhiều"", ""ít""]}","Sữa chua đá là thức uống mát lạnh, chua ngọt và dễ uống. Không phù hợp người tiểu đường nếu dùng nhiều đường hoặc sữa đặc.","{""type"":""thức uống"",""taste"":[""sweet"",""sour""],""ingredients"":[""sữa chua"",""sữa đặc"",""đá"",""đường""],""options"":[""đường (nhiều/ít/không)"",""đá (nhiều/ít)"",""sữa chua (nhiều/ít)"",""sữa đặc (nhiều/ít)""],""suitable_for"":[""hot_weather"",""light_meal""],""avoid_for"":[""diabetes""]}","{""good_for"":[""hot_weather"",""light_meal""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
17,trà lài đác thơm,thức uống,"trà lài, hạt đác, thơm, đường, đá","trà lài (nhiều/ít), mật ong (nhiều/ít/không), đường (nhiều/ít/không), đá (nhiều/ít/không)","{""trà_lài"": [""nhiều"", ""ít""], ""mật_ong"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""], ""đá"": [""nhiều"", ""ít"", ""không""]}","Trà lài đác thơm là thức uống thanh mát, ngọt nhẹ và thơm trái cây. Phù hợp thời tiết nóng; không phù hợp người tiểu đường nếu dùng nhiều đường hoặc mật ong.","{""type"":""thức uống"",""taste"":[""sweet"",""floral""],""ingredients"":[""trà lài"",""hạt đác"",""thơm"",""đường"",""đá""],""options"":[""trà lài (nhiều/ít)"",""mật ong (nhiều/ít/không)"",""đường (nhiều/ít/không)"",""đá (nhiều/ít/không)""],""suitable_for"":[""hot_weather""],""avoid_for"":[""diabetes""]}","{""good_for"":[""hot_weather""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
18,bún bò,đồ ăn,"bún, thịt bò, sả ớt, chả, hành","thịt bò (nhiều/ít), sả ớt (nhiều/ít/không), chả (nhiều/ít/không), hành (nhiều/ít/không), rau (nhiều/ít/không)","{""thịt_bò"": [""nhiều"", ""ít""], ""sả_ớt"": [""nhiều"", ""ít"", ""không""], ""chả"": [""nhiều"", ""ít"", ""không""], ""hành"": [""nhiều"", ""ít"", ""không""], ""rau"": [""nhiều"", ""ít"", ""không""]}","Bún bò là món nước đậm đà, cay thơm từ sả ớt. Không phù hợp người đau dạ dày, cao huyết áp hoặc viêm đại tràng do cay và nhiều natri.","{""type"":""đồ ăn"",""taste"":[""salty"",""spicy"",""umami""],""ingredients"":[""bún"",""thịt bò"",""sả ớt"",""chả"",""hành""],""options"":[""thịt bò (nhiều/ít)"",""sả ớt (nhiều/ít/không)"",""chả (nhiều/ít/không)"",""hành (nhiều/ít/không)"",""rau (nhiều/ít/không)""],""suitable_for"":[],""avoid_for"":[""gastritis"",""colitis"",""high_blood_pressure""]}","{""good_for"":[],""bad_for"":[""gastritis"",""colitis"",""high_blood_pressure""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
19,cơm tấm,đồ ăn,"cơm tấm, sườn, bì, chả trứng, mỡ hành","mỡ hành (nhiều/ít/không), sườn (nhiều/ít), bì (nhiều/ít), chả trứng (nhiều/ít), nước mắm (cay/không cay)","{""mỡ_hành"": [""nhiều"", ""ít"", ""không""], ""sườn"": [""nhiều"", ""ít""], ""bì"": [""nhiều"", ""ít""], ""chả_trứng"": [""nhiều"", ""ít""], ""nước_mắm"": [""cay"", ""không cay""]}","Cơm tấm là món ăn no đậm vị với sườn nướng, bì và chả trứng. Không phù hợp người cao huyết áp, béo phì hoặc gan nhiễm mỡ do nhiều natri và dầu mỡ.","{""type"":""đồ ăn"",""taste"":[""salty"",""fatty""],""ingredients"":[""cơm tấm"",""sườn"",""bì"",""chả trứng"",""mỡ hành""],""options"":[""mỡ hành (nhiều/ít/không)"",""sườn (nhiều/ít)"",""bì (nhiều/ít)"",""chả trứng (nhiều/ít)"",""nước mắm (cay/không cay)""],""suitable_for"":[],""avoid_for"":[""high_blood_pressure"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""good_for"":[],""bad_for"":[""high_blood_pressure"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
20,gỏi cuốn tôm thịt,đồ ăn,"bánh tráng, tôm, thịt, bún, rau","tôm (nhiều/ít), thịt (nhiều/ít), rau (nhiều/ít/không), bún (nhiều/ít)","{""tôm"": [""nhiều"", ""ít""], ""thịt"": [""nhiều"", ""ít""], ""rau"": [""nhiều"", ""ít"", ""không""], ""bún"": [""nhiều"", ""ít""]}","Gỏi cuốn là món cuốn thanh mát, ít dầu mỡ và dễ ăn. Phù hợp người cần bữa nhẹ; không phù hợp người dị ứng hải sản nếu có tôm.","{""type"":""đồ ăn"",""taste"":[""light"",""fresh"",""salty""],""ingredients"":[""bánh tráng"",""tôm"",""thịt"",""bún"",""rau""],""options"":[""tôm (nhiều/ít)"",""thịt (nhiều/ít)"",""rau (nhiều/ít/không)"",""bún (nhiều/ít)""],""suitable_for"":[""light_meal"",""diet""],""avoid_for"":[""seafood_allergy""]}","{""good_for"":[""light_meal"",""diet""],""bad_for"":[""seafood_allergy""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
21,bánh xèo,đồ ăn,"bột gạo, tôm, thịt, giá, rau","tôm (nhiều/ít), thịt (nhiều/ít), rau (nhiều/ít/không), giá (nhiều/ít/không)","{""tôm"": [""nhiều"", ""ít""], ""thịt"": [""nhiều"", ""ít""], ""rau"": [""nhiều"", ""ít"", ""không""], ""giá"": [""nhiều"", ""ít"", ""không""]}","Bánh xèo là món chiên giòn, đậm vị và giàu dầu mỡ. Không phù hợp người béo phì, cao huyết áp hoặc gan nhiễm mỡ.","{""type"":""đồ ăn"",""taste"":[""savory"",""fatty""],""ingredients"":[""bột gạo"",""tôm"",""thịt"",""giá"",""rau""],""options"":[""tôm (nhiều/ít)"",""thịt (nhiều/ít)"",""rau (nhiều/ít/không)"",""giá (nhiều/ít/không)""],""suitable_for"":[],""avoid_for"":[""obesity"",""high_blood_pressure"",""fatty_liver"",""gastritis""]}","{""good_for"":[],""bad_for"":[""obesity"",""high_blood_pressure"",""fatty_liver"",""gastritis""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
